transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
34,2019-04-01,17:52:36,3,17,518,Y,1,1,45,2,6,3,N
35,2019-04-01,14:24:55,3,12,112,Y,1,1,41,2,8.5,4.25,N
36,2019-04-01,14:24:55,3,12,112,Y,1,5,79,1,3.75,3.75,N
37,2019-04-01,17:26:58,3,17,437,N,1,1,37,2,6,3,N
38,2019-04-01,17:03:21,3,17,552,N,1,1,50,1,2.5,2.5,N
39,2019-04-01,15:03:55,3,12,194,Y,1,1,43,1,3,3,N
40,2019-04-01,14:54:27,3,17,788,N,1,1,38,2,7.5,3.75,N
41,2019-04-01,16:30:12,3,12,533,Y,1,1,40,1,3.75,3.75,N
42,2019-04-01,12:09:11,3,17,521,N,1,1,28,2,4,2,N
43,2019-04-01,15:48:10,3,17,512,Y,1,1,41,1,4.25,4.25,N
44,2019-04-01,19:04:32,3,17,178,Y,1,1,23,1,2.5,2.5,N
45,2019-04-01,14:30:49,3,12,416,Y,1,1,32,2,6,3,N
46,2019-04-01,11:15:38,3,12,22,Y,1,1,52,1,2.5,2.5,N
47,2019-04-01,18:14:31,3,12,642,Y,1,1,61,2,9.5,4.75,N
48,2019-04-01,11:52:08,3,12,189,N,1,1,58,1,3.5,3.5,N
49,2019-04-01,16:04:10,3,17,223,N,1,1,42,2,5,2.5,N
50,2019-04-01,19:25:00,3,12,40,Y,1,1,53,1,3,3,N
51,2019-04-01,11:27:00,3,17,344,N,1,1,49,1,3,3,N
52,2019-04-01,16:10:37,3,12,401,N,1,1,42,2,5,2.5,N
53,2019-04-01,11:27:06,3,12,189,N,1,1,31,2,4.4,2.2,N
54,2019-04-01,14:58:35,3,12,517,N,1,1,43,1,3,3,N
55,2019-04-01,14:49:18,3,17,328,Y,1,1,39,1,4.25,4.25,N
56,2019-04-01,14:49:18,3,17,328,Y,1,5,79,1,3.75,3.75,N
57,2019-04-01,12:05:26,3,12,331,N,1,1,48,2,5,2.5,N
58,2019-04-01,18:30:05,3,17,414,N,1,1,55,2,8,4,N
59,2019-04-01,19:57:08,3,12,567,N,1,1,48,1,2.5,2.5,N
60,2019-04-01,19:23:13,3,12,526,N,1,1,22,2,4,2,N
61,2019-04-01,12:05:31,3,12,659,N,1,1,52,2,5,2.5,N
62,2019-04-01,18:12:37,3,17,492,N,1,1,25,2,4.4,2.2,N
63,2019-04-01,18:14:17,3,17,655,Y,1,1,39,2,8.5,4.25,N
64,2019-04-01,17:28:16,3,12,500,Y,1,1,41,1,4.25,4.25,N
65,2019-04-01,15:34:10,3,12,530,N,1,1,41,2,8.5,4.25,N
66,2019-04-01,15:34:10,3,12,530,N,1,5,76,1,3.5,3.5,N
67,2019-04-01,15:30:57,3,17,114,Y,1,1,38,2,7.5,3.75,N
68,2019-04-01,18:33:47,3,17,301,N,1,1,51,1,3,3,N
69,2019-04-01,16:04:18,3,17,602,Y,1,1,54,2,5,2.5,N
70,2019-04-01,11:32:46,3,12,565,Y,1,1,31,2,4.4,2.2,N
71,2019-04-01,17:00:27,3,12,335,Y,1,1,29,1,2.5,2.5,N
72,2019-04-01,12:20:37,3,12,52,Y,1,1,25,1,2.2,2.2,N
73,2019-04-01,18:05:52,3,12,216,N,1,1,33,2,7,3.5,N
74,2019-04-01,18:05:52,3,12,216,N,1,5,79,1,3.75,3.75,N
75,2019-04-01,14:45:31,3,17,550,Y,1,1,47,1,3,3,N
76,2019-04-01,19:31:31,3,17,481,N,1,1,26,2,6,3,N
77,2019-04-01,12:23:27,3,12,516,N,1,1,22,2,4,2,N
78,2019-04-01,16:03:50,3,17,508,N,1,1,31,1,2.2,2.2,N
79,2019-04-01,16:03:50,3,17,508,N,1,5,76,1,3.5,3.5,N
80,2019-04-01,19:52:28,3,17,717,N,1,1,34,2,4.9,2.45,N
81,2019-04-01,14:14:08,3,17,641,Y,1,1,26,1,3,3,N
82,2019-04-01,15:45:16,3,17,525,N,1,1,46,2,5,2.5,N
83,2019-04-01,19:03:00,3,12,384,Y,1,1,22,1,2,2,N
84,2019-04-01,12:56:59,3,17,784,Y,1,1,47,1,3,3,N
85,2019-04-01,17:26:52,3,12,383,N,1,1,26,2,6,3,N
86,2019-04-01,12:15:02,3,12,659,Y,1,1,50,2,5,2.5,N
87,2019-04-01,14:51:44,3,17,235,Y,1,1,30,1,3,3,N
88,2019-04-01,12:55:25,3,12,319,Y,1,1,49,1,3,3,N
89,2019-04-01,16:17:06,3,12,647,N,1,1,34,2,4.9,2.45,N
90,2019-04-01,18:09:04,3,17,320,Y,1,1,35,1,3.1,3.1,N
91,2019-04-01,17:54:11,3,17,326,Y,1,1,56,2,5.1,2.55,N
92,2019-04-01,18:38:00,3,12,122,Y,1,1,41,1,4.25,4.25,N
93,2019-04-01,18:13:09,3,12,453,Y,1,1,59,1,4.5,4.5,N
94,2019-04-01,16:37:34,3,17,185,N,1,1,26,2,6,3,N
95,2019-04-01,19:15:15,3,12,393,N,1,1,55,1,4,4,N
96,2019-04-01,16:24:40,3,12,392,Y,1,1,47,2,6,3,N
97,2019-04-01,16:24:40,3,12,392,Y,1,5,74,1,3.5,3.5,N
98,2019-04-01,18:25:42,3,12,241,N,1,1,35,1,3.1,3.1,N
99,2019-04-01,18:51:23,3,17,777,N,1,1,24,2,6,3,N
100,2019-04-01,16:49:38,3,12,407,Y,1,1,52,1,2.5,2.5,N
101,2019-04-01,16:16:43,3,17,659,N,1,1,39,1,4.25,4.25,N
102,2019-04-01,15:15:17,3,12,288,Y,1,1,35,2,6.2,3.1,N
103,2019-04-01,15:15:17,3,12,288,Y,1,5,79,1,3.75,3.75,N
104,2019-04-01,18:07:54,3,12,15,N,1,1,26,2,6,3,N
105,2019-04-01,11:08:11,3,17,486,Y,1,1,59,1,4.5,4.5,N
106,2019-04-01,16:02:33,3,12,206,Y,1,1,43,2,6,3,N
107,2019-04-01,16:02:33,3,12,206,Y,1,5,71,1,3.75,3.75,N
108,2019-04-01,14:00:44,3,17,315,N,1,1,25,1,2.2,2.2,N
109,2019-04-01,17:12:46,3,17,197,Y,1,1,55,2,8,4,N
110,2019-04-01,19:49:37,3,12,329,N,1,1,36,1,3.75,3.75,N
111,2019-04-01,19:28:35,3,17,184,Y,1,1,55,1,4,4,N
112,2019-04-01,18:52:34,3,17,474,N,1,1,22,1,2,2,N
113,2019-04-01,12:18:27,3,17,706,Y,1,1,38,1,3.75,3.75,N
114,2019-04-01,17:18:36,3,17,384,Y,1,1,29,1,2.5,2.5,N
115,2019-04-01,19:17:34,3,12,537,Y,1,1,52,2,5,2.5,N
116,2019-04-01,18:49:48,3,17,128,N,1,1,27,1,3.5,3.5,N
117,2019-04-01,11:12:39,3,17,349,Y,1,1,22,2,4,2,N
118,2019-04-01,17:11:09,3,17,245,N,1,1,25,1,2.2,2.2,N
119,2019-04-01,18:23:47,3,17,244,N,1,1,32,2,6,3,N
120,2019-04-01,13:44:48,3,12,65,Y,1,1,56,1,2.55,2.55,N
121,2019-04-01,13:03:13,3,12,616,N,1,1,43,2,6,3,N
122,2019-04-01,11:45:11,3,12,284,N,1,1,51,2,6,3,N
123,2019-04-01,12:20:16,3,17,384,Y,1,1,60,2,7.5,3.75,N
124,2019-04-01,17:41:55,3,17,269,N,1,1,55,2,8,4,N
125,2019-04-01,17:41:55,3,17,269,N,1,5,71,1,3.75,3.75,N
126,2019-04-01,11:15:17,3,17,736,N,1,1,54,2,5,2.5,N
127,2019-04-01,17:58:05,3,17,385,N,1,1,52,2,5,2.5,N
128,2019-04-01,15:14:19,3,12,25,Y,1,1,26,2,6,3,N
129,2019-04-01,12:45:52,3,17,200,Y,1,1,28,2,4,2,N
130,2019-04-01,16:39:24,3,17,450,Y,1,1,36,1,3.75,3.75,N
131,2019-04-01,16:32:46,3,17,644,N,1,1,51,2,6,3,N
132,2019-04-01,18:18:10,3,17,482,N,1,1,59,1,4.5,4.5,N
133,2019-04-01,12:58:29,3,12,83,N,1,1,41,1,4.25,4.25,N
134,2019-04-01,11:47:57,3,17,199,N,1,1,23,1,2.5,2.5,N
135,2019-04-01,11:47:57,3,17,199,N,1,5,69,1,3.25,3.25,N
136,2019-04-01,16:22:38,3,12,425,N,1,1,22,1,2,2,N
137,2019-04-01,15:30:16,3,12,222,Y,1,1,43,1,3,3,N
138,2019-04-01,11:17:40,3,17,776,N,1,1,51,2,6,3,N
139,2019-04-01,11:30:18,3,12,190,N,1,1,30,2,6,3,N
140,2019-04-01,18:34:46,3,12,729,Y,1,1,25,2,4.4,2.2,N
141,2019-04-01,18:34:46,3,12,729,Y,1,5,77,1,3,3,N
142,2019-04-01,16:48:51,3,12,749,Y,1,1,59,1,4.5,4.5,N
143,2019-04-01,18:16:21,3,12,281,Y,1,1,54,2,5,2.5,N
144,2019-04-01,19:58:29,3,17,362,Y,1,1,55,1,4,4,N
145,2019-04-01,15:29:24,3,17,271,Y,1,1,57,1,3.1,3.1,N
146,2019-04-01,15:29:24,3,17,271,Y,1,5,70,1,3.25,3.25,N
147,2019-04-01,11:09:01,3,12,289,N,1,1,59,1,4.5,4.5,N
148,2019-04-01,14:01:57,3,12,124,Y,1,1,36,2,7.5,3.75,N
149,2019-04-01,11:57:17,3,12,693,Y,1,1,37,2,6,3,N
150,2019-04-01,17:39:57,3,12,602,N,1,1,25,1,2.2,2.2,N
151,2019-04-01,17:39:57,3,12,602,N,1,5,77,1,3,3,N
152,2019-04-01,18:13:19,3,17,376,Y,1,1,60,2,7.5,3.75,N
153,2019-04-01,14:19:10,3,12,251,Y,1,1,60,1,3.75,3.75,N
154,2019-04-01,13:21:23,3,17,459,N,1,1,38,2,7.5,3.75,N
155,2019-04-01,12:30:46,3,17,120,N,1,1,44,2,5,2.5,N
156,2019-04-01,18:34:56,3,12,136,N,1,1,60,2,7.5,3.75,N
157,2019-04-01,13:05:56,3,17,596,Y,1,1,58,1,3.5,3.5,N
158,2019-04-01,19:25:42,3,17,393,N,1,1,55,1,4,4,N
159,2019-04-01,16:31:22,3,17,126,N,1,1,51,2,6,3,N
160,2019-04-01,15:01:21,3,12,162,N,1,1,34,2,4.9,2.45,N
161,2019-04-01,12:46:22,3,17,230,Y,1,1,56,1,2.55,2.55,N
162,2019-04-01,18:43:42,3,12,290,Y,1,1,25,1,2.2,2.2,N
163,2019-04-01,15:09:37,3,12,119,Y,1,1,22,1,2,2,N
164,2019-04-01,17:22:29,3,17,332,N,1,1,58,2,7,3.5,N
165,2019-04-01,16:38:05,3,12,138,Y,1,1,35,1,3.1,3.1,N
166,2019-04-01,14:35:47,3,17,361,N,1,1,55,1,4,4,N
167,2019-04-01,15:10:55,3,17,488,N,1,1,42,1,2.5,2.5,N
168,2019-04-01,14:05:30,3,12,222,Y,1,1,60,1,3.75,3.75,N
169,2019-04-01,18:00:34,3,17,141,Y,1,1,53,1,3,3,N
170,2019-04-01,18:31:25,3,12,505,N,1,1,41,2,8.5,4.25,N
171,2019-04-01,12:42:26,3,17,139,Y,1,1,53,1,3,3,N
172,2019-04-01,13:09:20,3,17,473,N,1,1,26,1,3,3,N
173,2019-04-01,19:29:01,3,17,329,Y,1,1,44,2,5,2.5,N
174,2019-04-01,11:26:24,3,17,600,N,1,1,49,2,6,3,N
175,2019-04-01,16:47:11,3,17,796,N,1,1,26,2,6,3,N
176,2019-04-01,16:51:18,3,12,52,N,1,1,37,2,6,3,N
177,2019-04-01,18:51:41,3,17,702,Y,1,1,28,1,2,2,N
178,2019-04-01,19:21:29,3,12,466,N,1,1,51,1,3,3,N
179,2019-04-01,19:21:29,3,12,466,N,1,5,74,1,3.5,3.5,N
180,2019-04-01,19:32:22,3,17,24,Y,1,1,47,1,3,3,N
181,2019-04-01,11:14:07,3,12,456,Y,1,1,52,1,2.5,2.5,N
182,2019-04-01,19:38:46,3,12,406,N,1,1,55,2,8,4,N
183,2019-04-01,15:12:22,3,12,637,N,1,1,24,1,3,3,N
184,2019-04-01,17:44:28,3,12,209,Y,1,1,27,2,7,3.5,N
185,2019-04-01,17:44:28,3,12,209,Y,1,5,74,1,3.5,3.5,N
186,2019-04-01,13:09:03,3,17,438,Y,1,1,35,1,3.1,3.1,N
187,2019-04-01,16:42:12,3,17,536,Y,1,1,36,2,7.5,3.75,N
188,2019-04-01,19:07:26,3,17,550,Y,1,1,46,1,2.5,2.5,N
189,2019-04-01,19:07:26,3,17,550,Y,1,5,78,1,4.5,4.5,N
190,2019-04-01,16:58:31,3,12,548,N,1,1,45,2,6,3,N
191,2019-04-01,16:58:31,3,12,548,N,1,5,70,1,3.25,3.25,N
192,2019-04-01,12:12:21,3,17,662,Y,1,1,34,2,4.9,2.45,N
193,2019-04-01,12:12:21,3,17,662,Y,1,5,71,1,3.75,3.75,N
194,2019-04-01,15:09:38,3,12,341,Y,1,1,29,1,2.5,2.5,N
195,2019-04-01,15:09:38,3,12,341,Y,1,5,71,1,3.75,3.75,N
196,2019-04-01,13:23:54,3,17,685,N,1,1,58,2,7,3.5,N
197,2019-04-01,19:10:16,3,12,631,Y,1,1,27,2,7,3.5,N
198,2019-04-01,19:06:41,3,17,675,N,1,1,54,1,2.5,2.5,N
199,2019-04-01,11:44:31,3,12,773,N,1,1,56,1,2.55,2.55,N
200,2019-04-01,13:44:26,3,17,740,N,1,1,57,1,3.1,3.1,N
201,2019-04-01,12:58:53,3,17,743,N,1,1,57,2,6.2,3.1,N
202,2019-04-01,15:55:09,3,12,296,N,1,1,44,2,5,2.5,N
203,2019-04-01,19:25:57,3,17,63,Y,1,1,50,2,5,2.5,N
204,2019-04-01,19:25:57,3,17,63,Y,1,5,69,1,3.25,3.25,N
205,2019-04-01,12:04:37,3,17,563,N,1,1,47,2,6,3,N
206,2019-04-01,16:18:56,3,17,424,N,1,1,61,1,4.75,4.75,N
207,2019-04-01,14:07:56,3,12,382,Y,1,1,23,1,2.5,2.5,N
208,2019-04-01,12:33:20,3,12,608,Y,1,1,54,2,5,2.5,N
209,2019-04-01,18:22:07,3,17,497,Y,1,1,53,1,3,3,N
210,2019-04-01,15:19:19,3,17,313,N,1,1,43,1,3,3,N
211,2019-04-01,15:17:06,3,12,81,N,1,1,53,1,3,3,N
212,2019-04-01,16:58:33,3,12,384,Y,1,1,37,1,3,3,N
213,2019-04-01,13:42:10,3,12,398,N,1,1,43,1,3,3,N
214,2019-04-01,15:50:59,3,17,44,N,1,1,39,1,4.25,4.25,N
215,2019-04-01,16:07:20,3,17,732,N,1,1,23,2,5,2.5,N
216,2019-04-01,16:17:52,3,17,430,N,1,1,29,2,5,2.5,N
217,2019-04-01,13:19:36,3,12,601,N,1,1,23,1,2.5,2.5,N
218,2019-04-01,11:40:26,3,12,7,N,1,1,52,2,5,2.5,N
219,2019-04-01,11:15:33,3,17,318,Y,1,1,54,1,2.5,2.5,N
220,2019-04-01,19:39:00,3,17,467,Y,1,1,47,2,6,3,N
221,2019-04-01,15:27:11,3,12,434,Y,1,1,58,2,7,3.5,N
222,2019-04-01,14:53:00,3,12,781,N,1,1,43,1,3,3,N
223,2019-04-01,19:45:16,3,12,316,N,1,1,41,1,4.25,4.25,N
224,2019-04-01,19:38:00,3,12,399,N,1,1,33,1,3.5,3.5,N
225,2019-04-01,19:04:14,3,17,403,Y,1,1,29,2,5,2.5,N
226,2019-04-01,17:59:05,3,12,685,N,1,1,48,1,2.5,2.5,N
227,2019-04-01,15:44:32,3,17,409,N,1,1,44,2,5,2.5,N
228,2019-04-01,15:44:32,3,17,409,N,1,5,78,1,4.5,4.5,N
229,2019-04-01,17:32:16,3,12,557,Y,1,1,38,2,7.5,3.75,N
230,2019-04-01,12:33:35,3,17,231,Y,1,1,29,2,5,2.5,N
231,2019-04-01,11:36:00,3,17,571,N,1,1,40,2,7.5,3.75,N
232,2019-04-01,16:20:47,3,12,235,Y,1,1,41,1,4.25,4.25,N
233,2019-04-01,15:59:51,3,17,226,N,1,1,50,2,5,2.5,N
234,2019-04-01,16:03:30,3,17,745,N,1,1,34,2,4.9,2.45,N
235,2019-04-01,15:01:50,3,12,355,Y,1,1,27,1,3.5,3.5,N
236,2019-04-01,13:40:47,3,17,177,Y,1,1,54,2,5,2.5,N
237,2019-04-01,17:15:12,3,12,379,N,1,1,59,1,4.5,4.5,N
238,2019-04-01,11:36:56,3,17,654,Y,1,1,55,1,4,4,N
239,2019-04-01,17:10:35,3,12,428,N,1,1,59,1,4.5,4.5,N
240,2019-04-01,17:29:08,3,12,402,Y,1,1,37,1,3,3,N
241,2019-04-01,18:10:03,3,12,179,Y,1,1,58,1,3.5,3.5,N
242,2019-04-01,14:45:37,3,17,536,N,1,1,38,1,3.75,3.75,N
243,2019-04-01,12:09:46,3,17,299,N,1,1,26,2,6,3,N
244,2019-04-01,12:50:28,3,12,184,Y,1,1,32,2,6,3,N
245,2019-04-01,12:13:07,3,12,328,N,1,1,42,1,2.5,2.5,N
246,2019-04-01,17:22:36,3,17,574,N,1,1,36,1,3.75,3.75,N
247,2019-04-01,13:41:09,3,12,337,N,1,1,42,2,5,2.5,N
248,2019-04-01,17:51:22,3,12,5,N,1,1,53,1,3,3,N
249,2019-04-01,13:52:28,3,12,669,Y,1,1,56,2,5.1,2.55,N
250,2019-04-01,13:52:28,3,12,669,Y,1,5,70,1,3.25,3.25,N
251,2019-04-01,19:18:58,3,12,80,Y,1,1,53,1,3,3,N
252,2019-04-01,12:40:00,3,17,490,N,1,1,37,2,6,3,N
253,2019-04-01,12:40:00,3,17,490,N,1,5,69,1,3.25,3.25,N
254,2019-04-01,12:48:08,3,17,567,Y,1,1,38,2,7.5,3.75,N
255,2019-04-01,11:50:23,3,17,222,Y,1,1,36,2,7.5,3.75,N
256,2019-04-01,15:44:22,3,12,408,Y,1,1,38,2,7.5,3.75,N
257,2019-04-01,16:56:48,3,12,85,N,1,1,28,1,2,2,N
258,2019-04-01,15:52:23,3,12,540,N,1,1,29,2,5,2.5,N
259,2019-04-01,12:36:17,3,12,55,N,1,1,40,2,7.5,3.75,N
260,2019-04-01,12:36:17,3,12,55,N,1,5,71,1,3.75,3.75,N
261,2019-04-01,17:29:25,3,17,2,Y,1,1,46,1,2.5,2.5,N
262,2019-04-01,17:29:25,3,17,2,Y,1,5,75,1,3.5,3.5,N
263,2019-04-01,19:41:15,3,12,135,N,1,1,51,1,3,3,N
264,2019-04-01,15:27:54,3,12,227,N,1,1,56,1,2.55,2.55,N
265,2019-04-01,15:42:49,3,17,305,N,1,1,40,1,3.75,3.75,N
266,2019-04-01,12:43:33,3,17,453,Y,1,1,29,1,2.5,2.5,N
267,2019-04-01,11:33:29,3,12,146,Y,1,1,45,1,3,3,N
268,2019-04-01,11:33:29,3,12,146,Y,1,5,74,1,3.5,3.5,N
269,2019-04-01,13:35:04,3,12,646,N,1,1,30,2,6,3,N
270,2019-04-01,14:02:12,3,12,770,Y,1,1,49,1,3,3,N
271,2019-04-01,14:55:34,3,17,97,Y,1,1,34,2,4.9,2.45,N
272,2019-04-01,12:46:55,3,17,434,N,1,1,33,1,3.5,3.5,N
273,2019-04-01,12:46:55,3,17,434,N,1,5,75,1,3.5,3.5,N
274,2019-04-01,14:20:06,3,12,181,N,1,1,35,2,6.2,3.1,N
275,2019-04-01,12:56:33,3,17,247,N,1,1,61,1,4.75,4.75,N
276,2019-04-01,15:55:50,3,17,3,N,1,1,31,2,4.4,2.2,N
277,2019-04-01,15:26:37,3,12,606,N,1,1,41,2,8.5,4.25,N
278,2019-04-01,17:55:47,3,12,603,Y,1,1,59,2,9,4.5,N
279,2019-04-01,17:55:47,3,12,603,Y,1,5,70,1,3.25,3.25,N
280,2019-04-01,14:46:03,3,12,428,N,1,1,44,2,5,2.5,N
281,2019-04-01,14:46:03,3,12,428,N,1,5,77,1,3,3,N
282,2019-04-01,11:05:21,3,17,447,N,1,1,31,2,4.4,2.2,N
283,2019-04-01,14:03:41,3,17,730,Y,1,1,32,1,3,3,N
284,2019-04-01,15:57:47,3,17,672,Y,1,1,57,2,6.2,3.1,N
285,2019-04-01,16:36:10,3,12,189,Y,1,1,28,1,2,2,N
286,2019-04-01,18:22:53,3,17,169,Y,1,1,32,1,3,3,N
287,2019-04-01,18:22:53,3,17,169,Y,1,5,79,1,3.75,3.75,N
288,2019-04-01,19:12:14,3,17,18,Y,1,1,22,1,2,2,N
289,2019-04-01,17:37:58,3,17,646,Y,1,1,31,2,4.4,2.2,N
290,2019-04-01,12:03:43,3,17,477,Y,1,1,44,1,2.5,2.5,N
291,2019-04-01,13:00:03,3,17,377,Y,1,1,36,2,7.5,3.75,N
292,2019-04-01,18:25:51,3,12,258,Y,1,1,61,1,4.75,4.75,N
293,2019-04-01,16:30:37,3,17,8,N,1,1,33,2,7,3.5,N
294,2019-04-01,16:19:17,3,17,404,Y,1,1,56,1,2.55,2.55,N
295,2019-04-01,14:37:23,3,12,369,Y,1,1,34,2,4.9,2.45,N
296,2019-04-01,11:01:58,3,17,580,Y,1,1,38,1,3.75,3.75,N
297,2019-04-01,11:01:58,3,17,580,Y,1,5,75,1,3.5,3.5,N
298,2019-04-01,14:31:32,3,12,429,N,1,1,33,2,7,3.5,N
299,2019-04-01,12:47:29,3,17,11,N,1,1,48,1,2.5,2.5,N
300,2019-04-01,16:55:13,3,12,365,N,1,1,29,1,2.5,2.5,N
301,2019-04-01,16:55:13,3,12,365,N,1,5,73,1,3.75,3.75,N
302,2019-04-01,14:25:32,3,12,51,N,1,1,58,2,7,3.5,N
303,2019-04-01,14:43:13,3,12,373,N,1,1,50,2,5,2.5,N
304,2019-04-01,15:22:11,3,12,725,Y,1,1,39,2,8.5,4.25,N
305,2019-04-01,18:42:04,3,12,656,Y,1,1,60,2,7.5,3.75,N
306,2019-04-01,17:44:04,3,17,677,Y,1,1,47,2,6,3,N
307,2019-04-01,15:36:03,3,17,441,N,1,1,52,1,2.5,2.5,N
308,2019-04-01,15:36:03,3,17,441,N,1,5,79,1,3.75,3.75,N
309,2019-04-01,14:17:29,3,17,101,N,1,1,26,1,3,3,N
310,2019-04-01,11:14:45,3,17,212,Y,1,1,52,2,5,2.5,N
311,2019-04-01,17:42:35,3,12,199,Y,1,1,24,1,3,3,N
312,2019-04-01,16:12:12,3,17,230,Y,1,1,54,1,2.5,2.5,N
313,2019-04-01,16:12:12,3,17,230,Y,1,5,76,1,3.5,3.5,N
314,2019-04-01,11:40:20,3,12,534,Y,1,1,61,1,4.75,4.75,N
315,2019-04-01,12:27:46,3,12,231,Y,1,1,59,1,4.5,4.5,N
316,2019-04-01,19:57:56,3,12,448,Y,1,1,35,1,3.1,3.1,N
317,2019-04-01,11:59:48,3,17,391,N,1,1,52,2,5,2.5,N
318,2019-04-01,18:49:50,3,17,168,N,1,1,51,2,6,3,N
319,2019-04-01,14:34:35,3,17,447,Y,1,1,52,2,5,2.5,N
320,2019-04-01,14:34:35,3,17,447,Y,1,5,75,1,3.5,3.5,N
321,2019-04-01,14:13:48,3,12,25,Y,1,1,61,1,4.75,4.75,N
322,2019-04-01,14:13:48,3,12,25,Y,1,5,77,1,3,3,N
323,2019-04-01,18:52:57,3,12,90,Y,1,1,59,2,9,4.5,N
324,2019-04-01,17:25:45,3,12,677,Y,1,1,58,2,7,3.5,N
325,2019-04-01,18:22:12,3,12,70,N,1,1,61,2,9.5,4.75,N
326,2019-04-01,14:36:23,3,12,581,N,1,1,30,2,6,3,N
327,2019-04-01,14:07:12,3,17,398,N,1,1,41,2,8.5,4.25,N
328,2019-04-01,17:10:34,3,12,459,Y,1,1,27,1,3.5,3.5,N
329,2019-04-01,13:31:51,3,12,744,Y,1,1,44,2,5,2.5,N
330,2019-04-01,18:43:19,3,12,795,Y,1,1,57,1,3.1,3.1,N
331,2019-04-01,19:41:22,3,12,265,N,1,1,35,2,6.2,3.1,N
332,2019-04-01,13:04:51,3,12,72,N,1,1,22,1,2,2,N
333,2019-04-01,19:34:12,3,17,133,N,1,1,48,1,2.5,2.5,N
334,2019-04-01,19:34:12,3,17,133,N,1,5,70,1,3.25,3.25,N
335,2019-04-01,16:52:57,3,12,710,N,1,1,45,2,6,3,N
336,2019-04-01,19:25:50,3,17,448,Y,1,1,51,1,3,3,N
337,2019-04-01,19:25:50,3,17,448,Y,1,5,70,1,3.25,3.25,N
338,2019-04-01,19:47:17,3,17,414,Y,1,1,40,1,3.75,3.75,N
339,2019-04-01,19:47:17,3,17,414,Y,1,5,78,1,4.5,4.5,N
340,2019-04-01,13:01:30,3,12,65,N,1,1,39,2,8.5,4.25,N
341,2019-04-01,18:41:01,3,12,396,Y,1,1,24,1,3,3,N
342,2019-04-01,15:49:43,3,12,252,N,1,1,23,2,5,2.5,N
343,2019-04-01,15:56:38,3,17,573,Y,1,1,42,2,5,2.5,N
344,2019-04-01,15:56:38,3,17,573,Y,1,5,79,1,3.75,3.75,N
345,2019-04-01,16:49:47,3,12,558,N,1,1,29,1,2.5,2.5,N
346,2019-04-01,18:34:09,3,17,601,Y,1,1,36,1,3.75,3.75,N
